board_size,game_time,agent_x_name,agent_o_name,agent_x_time,agent_o_time,winner
3,0.0002269744873046,RLAgent,Random Agent,2.0604250039468752e-05,7.311503092447917e-06,RLAgent
3,0.0002298355102539,RLAgent,Random Agent,2.0645499716920312e-05,7.0730845133463544e-06,RLAgent
3,0.0001721382141113,RLAgent,Random Agent,2.2750000122565932e-05,6.67572021484375e-06,RLAgent
3,0.0001609325408935,RLAgent,Random Agent,2.0472333138362348e-05,7.033348083496094e-06,RLAgent
3,0.000180959701538,RLAgent,Random Agent,2.406933344900608e-05,7.033348083496094e-06,RLAgent
3,0.0002276897430419,RLAgent,Random Agent,2.1082999865029706e-05,7.152557373046875e-06,RLAgent
3,0.0001778602600097,RLAgent,Random Agent,2.2430666528331734e-05,7.033348083496094e-06,RLAgent
3,0.0001740455627441,RLAgent,Random Agent,2.2222000249409273e-05,7.033348083496094e-06,RLAgent
3,0.000166893005371,RLAgent,Random Agent,2.180566661991179e-05,6.9141387939453125e-06,RLAgent
3,0.0002071857452392,RLAgent,Random Agent,1.8562499917607056e-05,6.357828776041667e-06,RLAgent
3,0.0001630783081054,RLAgent,Random Agent,2.049999996719028e-05,6.079673767089844e-06,RLAgent
3,0.000173807144165,RLAgent,Random Agent,2.2264333589797996e-05,6.318092346191406e-06,RLAgent
3,0.0002849102020263,RLAgent,Random Agent,2.1366800319810866e-05,6.973743438720703e-06,RLAgent
3,0.0002059936523437,RLAgent,Random Agent,1.8604000160848955e-05,6.67572021484375e-06,RLAgent
3,0.0001721382141113,RLAgent,Random Agent,2.151366667627978e-05,7.033348083496094e-06,RLAgent
3,0.0003929138183593,RLAgent,Random Agent,3.300000007584458e-05,9.000301361083984e-06,Draw
3,0.0002717971801757,RLAgent,Random Agent,1.9483600044623015e-05,6.794929504394531e-06,RLAgent
3,0.0001671314239501,RLAgent,Random Agent,2.1222333392264165e-05,6.9141387939453125e-06,RLAgent
